Name,State,Date,Latitude,Longitude
Hilliard,Wyoming,10/15/1900,41.1377252,-110.8118414
Laramie,Wyoming,11/01/1900,41.3113669,-105.5911007
Sheridan,Wyoming,10/15/1900,44.7971939,-106.9561792
Wheatland,Wyoming,10/15/1900,42.0544238,-104.9527255
