Name,Date,State
Faucett,09/01/1903,Missouri
Fayette,07/01/1902,Missouri
Fayetteville,12/15/1903,Missouri
Florisant,03/01/1902,Missouri
Forest City,02/02/1903,Missouri
Forestgreen,01/01/1904,Missouri
Forestgreen,03/01/1904,Missouri
Foristell,09/15/1904,Missouri
Fortuna,04/01/1904,Missouri
Frankford,10/01/1901,Missouri
Franklin,07/01/1902,Missouri
Fredericktown,03/02/1903,Missouri
Freeman,08/01/1903,Missouri
Fulton,12/01/1902,Missouri
Galena,11/01/1904,Missouri
Gallatin,10/01/1900,Missouri
Galt,01/02/1901,Missouri
Garden City,12/01/1902,Missouri
Gashland,08/15/1904,Missouri
Gazette,09/01/1904,Missouri
Gentry,04/01/1903,Missouri
Gilliam,02/02/1903,Missouri
Gilman City,09/15/1903,Missouri
Glasgow,07/01/1902,Missouri
Glencoe,06/01/1904,Missouri
Golden City,09/02/1901,Missouri
Goodman,05/16/1904,Missouri
Gordonville,11/02/1903,Missouri
Gorin,02/02/1903,Missouri
Gower,01/01/1902,Missouri
Graham,10/01/1901,Missouri
Grain Valley,02/01/1902,Missouri
Granby,04/01/1903,Missouri
Grant City,06/01/1901,Missouri
Green City,03/02/1903,Missouri
Green Ridge,07/01/1902,Missouri
Greencastle,05/01/1903,Missouri
Greenfield,12/01/1902,Missouri
Greentop,10/01/1903,Missouri
Greenwood,04/15/1901,Missouri
Gregory Landing,08/01/1904,Missouri
Guilford,09/01/1903,Missouri
Guthrie,10/01/1904,Missouri
Hale,01/15/1901,Missouri
Halfway,11/01/1904,Missouri
Halls,01/15/1904,Missouri
Hallsville,04/15/1904,Missouri
Hamilton,03/15/1900,Missouri
Hannibal,01/15/1901,Missouri
Hardin,08/01/1901,Missouri
Harlem,12/15/1903,Missouri
Harris,03/02/1903,Missouri
Harrisonville,08/01/1903,Missouri
Harwood,09/15/1903,Missouri
Hatfield,08/15/1904,Missouri
Hatton,09/15/1904,Missouri
Helena,03/02/1903,Missouri
Hemple,08/01/1904,Missouri
Hermann,02/01/1901,Missouri
Hickman Mill,03/15/1901,Missouri
Hickory,11/16/1903,Missouri
Higbee,07/01/1903,Missouri
Higginsville,06/01/1899,Missouri
High Hill,04/01/1904,Missouri
Hillsboro,06/01/1904,Missouri
Holden,07/01/1902,Missouri
Holliday,10/01/1902,Missouri
Holstein,11/01/1904,Missouri
Holt,09/01/1903,Missouri
Hopkins,07/23/1900,Missouri
Horton,09/15/1903,Missouri
House Springs,06/01/1904,Missouri
Houstonia,09/01/1902,Missouri
Hughesville,03/15/1900,Missouri
Humansville,07/15/1904,Missouri
Hume,02/15/1904,Missouri
Humphrey,03/01/1902,Missouri
Hunnewell,10/01/1902,Missouri
Huntsdale,11/15/1904,Missouri
Huntsville,01/02/1901,Missouri
Hurdland,05/01/1902,Missouri
Iantha,09/01/1902,Missouri
Independence,09/02/1901,Missouri
Irwin,11/16/1903,Missouri
Jackson,02/02/1903,Missouri
Jameson,04/01/1903,Missouri
Jamesport,07/01/1903,Missouri
Jamestown,04/01/1904,Missouri
Jasper,03/01/1901,Missouri
Jefferson City,05/01/1902,Missouri
Jonesburg,11/01/1901,Missouri
Joplin,04/01/1903,Missouri
Kahoka,03/02/1903,Missouri
