Name,Date,State
Etna Green,10/15/1900,Indiana
Evans Landing,12/15/1903,Indiana
Evansville,04/16/1900,Indiana
Everton,07/15/1903,Indiana
Ewing,04/01/1903,Indiana
Fairland,04/01/1903,Indiana
Fairmont,04/02/1900,Indiana
Fairoaks,01/01/1904,Indiana
Falmouth,07/15/1903,Indiana
Farmersburg,04/01/1903,Indiana
Farmland,05/01/1900,Indiana
Fillmore,05/16/1904,Indiana
Fishers Switch,10/15/1902,Indiana
Flat Rock,11/01/1901,Indiana
Flora,05/01/1900,Indiana
Floyds Knobs,04/01/1904,Indiana
Folsomville,12/15/1903,Indiana
Forest,02/02/1903,Indiana
Fort Branch,11/01/1900,Indiana
Fort Ritner,09/01/1903,Indiana
Fort Wayne,10/16/1899,Indiana
Fortville,09/01/1902,Indiana
Fountain City,02/01/1902,Indiana
Fountaintown,09/01/1903,Indiana
Fowler,10/09/1899,Indiana
Francesville,01/15/1904,Indiana
Francisco,07/15/1902,Indiana
Frankfort,10/03/1898,Indiana
Franklin,07/05/1899,Indiana
Frankton,10/15/1900,Indiana
Fredericksburg,01/01/1904,Indiana
Freedom,12/01/1904,Indiana
Freelandville,11/02/1903,Indiana
Freetown,11/15/1904,Indiana
Fremont,10/15/1900,Indiana
Fulton,02/15/1904,Indiana
Gallaudet,05/01/1900,Indiana
Galveston,10/15/1900,Indiana
Garrett,04/01/1903,Indiana
Gas City,08/15/1902,Indiana
Gaston,10/15/1901,Indiana
Geneva,04/01/1902,Indiana
Gentryville,12/15/1903,Indiana
Glenwood,07/15/1903,Indiana
Goldsmith,08/01/1904,Indiana
Goodland,09/01/1903,Indiana
Goshen,10/01/1900,Indiana
Gosport,08/01/1902,Indiana
Grabill,10/01/1904,Indiana
Granger,08/01/1900,Indiana
Grasscreek,11/01/1902,Indiana
Greencastle,08/15/1900,Indiana
Greenfield,10/01/1900,Indiana
Greens Fork,11/01/1901,Indiana
Greensburg,04/02/1900,Indiana
Greentown,10/15/1900,Indiana
Greenwood,06/01/1901,Indiana
Griffin,07/15/1902,Indiana
Griffith,09/15/1904,Indiana
Grovertown,12/15/1904,Indiana
Guilford,09/15/1903,Indiana
Guionsville,12/15/1904,Indiana
Hagerstown,11/01/1901,Indiana
Hall,11/01/1904,Indiana
Hamilton,10/01/1901,Indiana
Hamlet,07/01/1902,Indiana
Hanna,09/15/1904,Indiana
Hanover,04/01/1903,Indiana
Harrodsburg,11/15/1904,Indiana
Hartford City,08/01/1899,Indiana
Hartsville,10/15/1896,Indiana
Hazleton,02/01/1902,Indiana
Hebron,07/01/1903,Indiana
Helmer,11/01/1902,Indiana
Heltonville,09/01/1903,Indiana
Henryville,09/01/1903,Indiana
Hillsboro,07/01/1902,Indiana
Hillsdale,03/02/1903,Indiana
Hoagland,12/01/1903,Indiana
Hobart,08/01/1899,Indiana
Holland,10/01/1904,Indiana
Holton,04/15/1904,Indiana
Hoover,09/15/1903,Indiana
Hope,10/15/1896,Indiana
Hortonville,10/15/1902,Indiana
Hudson,10/15/1900,Indiana
Huntertown,04/15/1904,Indiana
Huntingburg,09/15/1903,Indiana
Huntington,07/05/1899,Indiana
Idaville,10/15/1903,Indiana
Independence,08/01/1904,Indiana
Indian Springs,12/01/1904,Indiana
Indianapolis,10/15/1903,Indiana
Ingalls,10/01/1902,Indiana
Inglefield,08/01/1901,Indiana
Jamestown,05/01/1900,Indiana
Jasper,04/01/1902,Indiana
Jonesboro,07/16/1900,Indiana
