Name,State,Date,Latitude,Longitude
Carlsbad,New Mexico,02/02/1903,32.4480815,-104.226866896807
Maxwell City,New Mexico,07/01/1903,,
Roswell,New Mexico,03/01/1902,33.3942655,-104.5230242
