Name,Date
Abbottstown0,7/01/1903
Ackley Station0,2/01/1902
Alba0,5/02/1904
Albion0,1/01/1904
Alburtis1,1/15/1904
Alderson0,4/15/1904
Alexandria0,2/01/1902
Allegheny0,7/01/1903
Allentown0,7/05/1899
Allenwood0,1/01/1904
Amity0,3/15/1901
Analomink0,2/01/1904
Analomink0,4/01/1904
Andersonburg0,1/15/1904
Annville0,7/01/1903
Apollo1,1/01/1904
Aspers1,0/15/1903
Athens0,5/02/1904
Atlantic1,2/01/1903
Auburn0,9/15/1904
Avondale0,2/01/1902
Avonia0,9/01/1904
Avonmore0,4/01/1904
Baden1,1/15/1904
Bainbridge1,2/01/1903
Bakerstown0,7/15/1903
Bangor0,4/01/1904
Bareville0,4/01/1904
Barnesville0,5/01/1903
Bath0,6/01/1904
Beallsville0,4/01/1901
Bearlake1,1/02/1903
Beaver0,2/02/1903
Beaverfalls1,1/01/1900
Bechtelsville0,7/01/1903
Bedford0,9/01/1903
Beechcreek1,2/01/1904
Belbend1,2/01/1900
Belle Vernon0,8/01/1901
Bellefonte0,9/01/1903
Belleville0,7/01/1903
Bellwood1,0/01/1904
Benton1,1/01/1901
Berlin1,2/01/1904
Berwick1,0/01/1901
Berwyn1,0/01/1900
Bethlehem0,9/01/1903
Biglerville0,3/02/1903
Bird In Hand0,3/02/1903
Birdsboro0,5/02/1904
Bittinger0,7/01/1903
Blain0,2/01/1904
Blairsville0,1/15/1901
Blandon1,1/15/1904
Blooming Valley1,2/01/1903
Bloomsburg0,7/15/1904
Boiling Springs1,0/01/1903
Bonview1,1/01/1902
Boothwyn0,3/01/1901
Bowmanstown1,1/15/1904
Boyce Station0,2/02/1903
Boyers0,8/15/1902
Boyertown1,0/15/1903
Bradley Junction1,2/15/1904
Brandywine Summit0,2/15/1901
Breinigsville1,2/15/1903
Bridgeton0,7/01/1903
Bridgeville0,1/01/1903
Brockwayville1,1/15/1904
Brodbecks1,1/01/1902
Brownsville0,8/01/1904
Brownsville1,1/02/1903
Bruin0,8/15/1902
Bulger0,3/15/1901
Burgettstown0,7/05/1899
Burlington0,5/02/1904
Butler0,8/15/1902
Callery0,8/15/1902
Cambridge Springs1,1/01/1901
Camptown0,5/02/1904
Canonsburg0,3/08/1900
Canton0,5/02/1904
Carbonblack0,8/15/1902
Carbondale1,1/02/1903
Carlisle1,0/01/1903
Carlton0,2/15/1904
Carmichaels0,3/01/1904
Carnegie1,0/15/1900
Catawissa0,4/15/1904
Cedarlane1,1/01/1902
Celia0,5/01/1903
Centerhall0,9/01/1903
Centerville0,2/02/1903
Chadds Ford0,4/01/1904
Chalfont0,7/01/1903
Chambersburg1,2/02/1901
Charleroi1,1/01/1900
Chatham0,2/01/1902
Cheathaven1,1/15/1902
Chester0,7/05/1899
Chester Springs0,5/01/1903
Chicora0,8/15/1900
Christiana0,3/02/1903
Clarks Mills0,2/15/1904
Clarksville0,2/02/1903
Claysville0,3/15/1900
Clearfield0,7/01/1902
Coal Center1,0/01/1900
Coatesville0,3/01/1904
Cochranton0,3/15/1901
Cochranville0,8/15/1900
Cogan House1,2/15/1904
Cogan Station0,8/01/1903
Collegeville0,3/01/1902
Columbia0,2/15/1901
Columbia Crossroads0,5/02/1904
Conneaut Lake0,1/02/1901
Conneautville1,0/01/1901
Connellsville1,1/02/1903
Conshohocken1,1/01/1900
Conyngham0,7/01/1902
Coopersburg0,7/01/1903
Coraopolis0,3/01/1902
Corry0,7/01/1901
Coudersport1,1/01/1902
Covington0,2/02/1903
Cranesville1,0/15/1903
Cresson1,2/15/1904
Crookedcreek0,2/02/1903
Crothers0,2/15/1901
Dagus Mines1,1/15/1904
Dallas0,4/15/1904
Dalton1,0/15/1903
Danville1,0/01/1902
Darlington1,0/01/1902
Dawson0,7/01/1901
Deerlick0,2/02/1903
Dehaven0,7/01/1903
Delta1,0/01/1902
Denny0,8/15/1902
Denver0,4/15/1904
Derry Station0,7/01/1904
Dillsburg1,2/01/1902
Douglassville0,2/02/1903
Dover0,5/01/1903
Downingtown0,3/01/1904
Driftwood0,5/14/1900
Drumore0,3/02/1903
Drums1,2/15/1903
Dubois1,1/16/1903
Dunbar1,1/02/1903
Duncannon0,2/15/1904
