Name,Date,State
Spring Garden,01/01/1904,Alabama
Springville,11/16/1903,Alabama
Steels Depot,11/02/1903,Alabama
Stevenson,09/01/1904,Alabama
Stroud,10/01/1903,Alabama
Sulligent,06/01/1904,Alabama
Sylacauga,10/15/1903,Alabama
Talladega,07/01/1902,Alabama
Tallassee,11/01/1902,Alabama
Taylor,08/01/1904,Alabama
Tennille,03/01/1904,Alabama
Troy,10/01/1902,Alabama
Trussville,11/15/1901,Alabama
Tuscaloosa,09/15/1904,Alabama
Tuscumbia,04/01/1902,Alabama
Tuskegee,08/01/1902,Alabama
Tyler,10/15/1903,Alabama
Valegrande,11/02/1903,Alabama
Valleyhead,08/15/1904,Alabama
Verbena,12/01/1903,Alabama
Vernon,09/01/1903,Alabama
Veto,08/01/1904,Alabama
Vincent,09/15/1904,Alabama
Vinemont,02/02/1903,Alabama
Walter,06/01/1904,Alabama
Warrior,11/15/1901,Alabama
Waverly,09/15/1903,Alabama
Wetumpka,11/01/1902,Alabama
Wilsonville,11/16/1903,Alabama
