Name,Date,State
Haley,09/15/1904,Tennessee
Halls,09/15/1903,Tennessee
Hampton,11/02/1903,Tennessee
Hardin,06/01/1904,Tennessee
Harriman,03/01/1902,Tennessee
Hartsville,10/01/1903,Tennessee
Heiskell,03/01/1902,Tennessee
Henderson,11/02/1903,Tennessee
Hendersons Crossroads,09/15/1903,Tennessee
Hendersonville,10/01/1904,Tennessee
Henry,07/15/1903,Tennessee
Henrys Crossroads,02/16/1903,Tennessee
Hermitage,07/01/1902,Tennessee
Hickman,10/01/1904,Tennessee
Hickory Point,11/01/1904,Tennessee
Hill City,04/01/1902,Tennessee
Hohenwald,06/01/1904,Tennessee
Holladay,04/15/1904,Tennessee
Hollow Rock,06/01/1904,Tennessee
Horton,09/01/1903,Tennessee
Humboldt,02/02/1903,Tennessee
Huntingdon,04/01/1903,Tennessee
Huntland,07/15/1904,Tennessee
Huron,08/15/1904,Tennessee
Idol,03/01/1902,Tennessee
Indian Springs,01/02/1903,Tennessee
Jacksboro,02/15/1901,Tennessee
Jackson,04/01/1903,Tennessee
Jearoldstown,12/15/1903,Tennessee
Jefferson City,05/15/1901,Tennessee
Jellico,12/15/1903,Tennessee
Jingo,09/15/1904,Tennessee
Jingo,11/01/1904,Tennessee
Joelton,07/01/1902,Tennessee
Johnson City,02/01/1899,Tennessee
Johnsonville,04/01/1904,Tennessee
Jones,12/15/1903,Tennessee
Jonesboro,02/15/1899,Tennessee
Joppa,04/01/1902,Tennessee
Juno,02/01/1904,Tennessee
Kelso,09/01/1903,Tennessee
Keltonburg,11/15/1904,Tennessee
Kenton,02/02/1903,Tennessee
Kerrville,11/01/1902,Tennessee
Kingston,04/01/1903,Tennessee
Kingston Springs,10/01/1903,Tennessee
Kizer,11/02/1903,Tennessee
Knoxville,10/01/1900,Tennessee
Kodak,05/01/1903,Tennessee
Kyles Ford,07/15/1904,Tennessee
Lafayette,10/01/1904,Tennessee
Lafollette,03/01/1902,Tennessee
Lancaster,10/15/1904,Tennessee
Lascassas,11/16/1903,Tennessee
Laurel Bloomery,04/01/1902,Tennessee
Lavergne,07/01/1902,Tennessee
Lavinia,05/16/1904,Tennessee
Lawrenceburg,05/15/1902,Tennessee
Leas Springs,11/01/1901,Tennessee
Lebanon,08/01/1902,Tennessee
Lee Valley,05/01/1903,Tennessee
Leipers Fork,01/01/1904,Tennessee
Lenoir City,11/01/1902,Tennessee
Lewisburg,02/01/1902,Tennessee
Lexington,02/01/1904,Tennessee
Liberty,05/01/1903,Tennessee
Libertyhill,09/15/1903,Tennessee
Limestone,12/01/1900,Tennessee
Lincoln,11/15/1904,Tennessee
Linden,10/01/1902,Tennessee
Lobelville,05/02/1904,Tennessee
Lone Mountain,10/01/1900,Tennessee
Longcreek,10/01/1904,Tennessee
Lostcreek,12/01/1903,Tennessee
Loudon,06/11/1900,Tennessee
Louisville,08/01/1902,Tennessee
Lovedale,07/02/1900,Tennessee
Lucy,11/02/1903,Tennessee
Luray,12/01/1903,Tennessee
Luther,05/01/1903,Tennessee
Luttrell,09/02/1901,Tennessee
Lutts,06/01/1904,Tennessee
Lynville,02/01/1902,Tennessee
Madisonville,09/01/1903,Tennessee
Maggie,08/15/1904,Tennessee
Manchester,04/15/1904,Tennessee
Mansfield,07/15/1903,Tennessee
Manson,11/16/1903,Tennessee
Martel,05/01/1903,Tennessee
Martha,07/01/1904,Tennessee
Martins Mills,06/01/1904,Tennessee
Maryville,05/15/1901,Tennessee
Mascot,02/01/1902,Tennessee
Match,07/15/1903,Tennessee
Maynardville,04/01/1902,Tennessee
Mc Donald,10/15/1904,Tennessee
Mc Ewen,04/01/1904,Tennessee
Mc Kenzie,03/01/1902,Tennessee
Mc Minnville,04/15/1902,Tennessee
Medina,12/15/1903,Tennessee
Memphis,07/01/1902,Tennessee
Midway,02/01/1902,Tennessee
Milan,04/15/1904,Tennessee
Milldale,04/01/1903,Tennessee
Millpoint,05/16/1904,Tennessee
Milton,12/15/1904,Tennessee
Model,11/02/1903,Tennessee
