Name,State,Date
Spring Garden,Alabama,01/01/1904
Springville,Alabama,11/16/1903
Steels Depot,Alabama,11/02/1903
Stevenson,Alabama,09/01/1904
Stroud,Alabama,10/01/1903
Sulligent,Alabama,06/01/1904
Sylacauga,Alabama,10/15/1903
Talladega,Alabama,07/01/1902
Tallassee,Alabama,11/01/1902
Taylor,Alabama,08/01/1904
Tennille,Alabama,03/01/1904
Troy,Alabama,10/01/1902
Trussville,Alabama,11/15/1901
Tuscaloosa,Alabama,09/15/1904
Tuscumbia,Alabama,04/01/1902
Tuskegee,Alabama,08/01/1902
Tyler,Alabama,10/15/1903
Valegrande,Alabama,11/02/1903
Valleyhead,Alabama,08/15/1904
Verbena,Alabama,12/01/1903
Vernon,Alabama,09/01/1903
Veto,Alabama,08/01/1904
Vincent,Alabama,09/15/1904
Vinemont,Alabama,02/02/1903
Walter,Alabama,06/01/1904
Warrior,Alabama,11/15/1901
Waverly,Alabama,09/15/1903
Wetumpka,Alabama,11/01/1902
Wilsonville,Alabama,11/16/1903
Mesa,Arizona,11/02/1903
Phoenix,Arizona,02/02/1903
Tempe,Arizona,11/24/1896
Tucson,Arizona,09/01/1903
Alma,Arkansas,08/15/1904
Almyra,Arkansas,07/01/1903
Appleton,Arkansas,05/02/1904
Arkadelphia,Arkansas,09/01/1903
Austin,Arkansas,09/15/1904
Belleville,Arkansas,04/01/1903
Bentonville,Arkansas,08/01/1904
Brister,Arkansas,12/15/1904
Camden,Arkansas,10/01/1903
Carlisle,Arkansas,08/15/1904
Centerton,Arkansas,12/01/1904
Charleston,Arkansas,12/01/1904
Chickalah,Arkansas,09/01/1904
Chidester,Arkansas,08/15/1904
Clarksville,Arkansas,10/19/1896
Conway,Arkansas,05/01/1903
Dardanelle,Arkansas,08/15/1900
De Queen,Arkansas,08/15/1904
Farmington,Arkansas,03/01/1904
Fayetteville,Arkansas,07/01/1902
Fort Smith,Arkansas,10/01/1901
Fouke,Arkansas,05/16/1904
Garfield,Arkansas,09/15/1904
Gentry,Arkansas,09/15/1904
Gravette,Arkansas,08/15/1904
Greenwood,Arkansas,02/02/1903
Gumlog,Arkansas,12/01/1904
Hackett,Arkansas,12/01/1904
Hamburg,Arkansas,10/01/1903
Hazen,Arkansas,04/01/1903
Hollygrove,Arkansas,07/01/1903
Hope,Arkansas,08/01/1904
Johnson,Arkansas,10/01/1903
Jonesboro,Arkansas,07/15/1904
Judsonia,Arkansas,04/01/1903
Lexa,Arkansas,08/15/1904
Little Rock,Arkansas,10/15/1903
London,Arkansas,12/01/1904
Lonoke,Arkansas,08/01/1904
Lowell,Arkansas,05/01/1903
Magnolia,Arkansas,07/15/1904
Marvell,Arkansas,04/01/1903
Mc Neil,Arkansas,11/01/1904
Morrillton,Arkansas,04/01/1903
Nashville,Arkansas,10/01/1903
Newport,Arkansas,10/15/1900
Ozark,Arkansas,12/01/1904
Paris,Arkansas,10/01/1903
Piggott,Arkansas,07/15/1904
Plumerville,Arkansas,07/01/1903
Poplargrove,Arkansas,09/01/1904
Pottsville,Arkansas,04/01/1903
Prairiegrove,Arkansas,11/01/1904
Prescott,Arkansas,04/01/1903
Rogers,Arkansas,04/01/1904
Russellville,Arkansas,03/15/1900
Searcy,Arkansas,08/01/1904
Siloam Springs,Arkansas,09/15/1903
Springdale,Arkansas,08/15/1900
Stephens,Arkansas,12/01/1904
Stuttgart,Arkansas,08/15/1900
Sulphur Springs,Arkansas,09/01/1904
Summers,Arkansas,12/15/1904
Texarkana,Arkansas,07/01/1902
Tupelo,Arkansas,07/01/1903
Vanburen,Arkansas,05/01/1903
Vilonia,Arkansas,12/15/1904
Warren,Arkansas,02/01/1902
Westfork,Arkansas,05/01/1903
Acampo,California,03/01/1901
Anaheim,California,09/15/1900
Arcata,California,10/01/1902
Arroyo Grande,California,07/01/1903
Auburn,California,07/01/1901
Bakersfield,California,09/15/1903
Berkeley,California,08/01/1903
Berryessa,California,09/20/1898
Buenapark,California,09/15/1903
Burbank,California,07/15/1904
Calistoga,California,05/16/1904
Campbell,California,02/01/1897
Carpenteria,California,07/02/1900
Ceres,California,11/02/1903
Chico,California,04/01/1902
Chino,California,03/02/1903
Colfax,California,04/01/1903
Colma,California,11/01/1902
Colton,California,12/01/1902
Compton,California,04/01/1902
Concord,California,07/01/1903
Del Ray,California,03/02/1903
Dinuba,California,09/01/1902
Dos Palos,California,09/15/1900
Downey,California,10/15/1904
Edenvale,California,07/05/1899
Elmhurst,California,09/01/1903
Elmonte,California,08/15/1900
Escondido,California,02/01/1901
Fairoaks,California,09/01/1903
Folsom,California,06/04/1900
Fort Jones,California,03/02/1903
Fowler,California,07/01/1902
Fresno,California,05/01/1900
Fullerton,California,08/15/1900
Galt,California,07/01/1901
Gardena,California,04/01/1904
Geyserville,California,10/01/1903
Gilroy,California,03/01/1900
Glenellen,California,09/01/1904
Grass Valley,California,10/01/1903
Halfmoon Bay,California,11/01/1900
Hanford,California,09/01/1902
Haywards,California,07/16/1900
Healdsburg,California,03/02/1903
Highland,California,07/01/1901
Hollywood,California,04/01/1902
Hynes,California,02/15/1904
Kingsburg,California,07/01/1901
Lathrop,California,02/01/1902
Laton,California,05/01/1903
Lemoore,California,09/01/1903
Lincoln,California,07/01/1903
Lodi,California,08/15/1900
Lompoc,California,04/01/1902
Longbeach,California,09/01/1903
Loomis,California,08/01/1900
Lordsburg,California,09/01/1903
Los Angeles,California,04/01/1902
Los Gatos,California,09/20/1898
Madera,California,02/02/1903
Martinez,California,02/01/1902
Merced,California,02/02/1903
Modesta,California,04/15/1904
Mokelumne Hill,California,02/02/1903
Morganhill,California,06/04/1900
Mountain View,California,07/23/1900
Napa,California,04/03/1899
Nestor,California,02/15/1904
Newark,California,09/01/1903
Newcastle,California,07/01/1901
Newman,California,02/15/1904
Niles,California,09/15/1903
North Ontario,California,08/15/1900
Norwalk,California,02/01/1902
Oleander,California,07/01/1902
Ontario,California,08/15/1900
Orange,California,09/15/1900
Oxnard,California,09/15/1903
Palms,California,02/01/1902
Parlier,California,03/02/1903
Pasadena,California,08/15/1904
Penryn,California,08/01/1902
Petaluma,California,04/03/1899
Placerville,California,08/15/1904
Pomona,California,07/05/1899
Portersville,California,02/01/1904
Redlands,California,12/15/1900
Redwood City,California,03/01/1899
Reedley,California,10/01/1902
Rialto,California,09/01/1903
Rivera,California,09/01/1903
Riverside,California,04/15/1901
Sacramento,California,05/01/1900
San Bernardino,California,09/01/1903
San Diego,California,07/01/1903
San Gabriel,California,04/01/1902
San Jacinto,California,09/15/1900
San Jose,California,09/02/1898
San Juan,California,10/15/1903
San Leandro,California,07/01/1903
San Lorenzo,California,05/16/1904
San Marcos,California,02/01/1902
San Martin,California,12/01/1904
Sanger,California,02/02/1903
Santa Ana,California,09/01/1900
Santa Barbara,California,04/03/1899
Santa Clara,California,07/01/1901
Santa Cruz,California,09/05/1899
Santa Maria,California,03/02/1903
Santa Paula,California,07/16/1900
Santa Rosa,California,02/06/1899
Saratoga,California,05/01/1900
Sebastopol,California,05/14/1900
Selma,California,02/02/1903
Soledad,California,06/15/1904
Sonoma,California,09/01/1900
Stockton,California,09/18/1899
Suisun City,California,02/01/1902
Sunnyvale,California,07/01/1902
Toluca,California,11/02/1903
Tulare,California,09/01/1903
Turlock,California,05/02/1904
Vacaville,California,07/01/1903
Ventura,California,11/01/1900
Visalia,California,08/01/1902
Watsonville,California,06/11/1900
Westside,California,03/17/1898
Whittier,California,04/01/1904
Woodland,California,09/15/1903
Wrights,California,09/15/1903
Berthoud,Colorado,07/16/1900
Boulder,Colorado,07/16/1900
Brighton,Colorado,02/01/1902
Broomfield,Colorado,08/15/1900
Brush,Colorado,09/15/1903
Carbondale,Colorado,06/15/1904
Delta,Colorado,01/01/1904
Denver,Colorado,07/02/1900
Dolores,Colorado,06/01/1904
Durango,Colorado,09/15/1900
Eaton,Colorado,09/01/1900
Edgewater,Colorado,07/05/1899
