Name,Date
Ackley1,1/01/1900
Ackworth0,8/01/1903
Adair1,1/02/1903
Adaza0,3/02/1903
Adel1,0/01/1900
Afton1,0/01/1902
Agency0,1/02/1901
Ainsworth0,3/15/1900
Akron1,0/15/1900
Albia1,1/15/1900
Albion1,2/02/1901
Alburnett0,2/01/1902
Alden1,1/15/1901
Alexander1,0/15/1902
Algona0,2/15/1904
Allerton0,5/01/1902
Allison0,4/01/1902
Almont1,0/01/1903
Alta0,5/01/1901
Altavista1,1/01/1904
Alton1,2/01/1902
Altoona1,1/01/1900
Alvord0,2/01/1904
Amana0,8/01/1902
Ames1,0/01/1900
Anamosa0,5/01/1900
Anita0,4/01/1904
Ankeny0,3/01/1902
Anthon0,7/01/1903
Aplington1,0/15/1902
Arcadia0,3/02/1903
Aredale1,0/15/1902
Arlington0,7/01/1901
Armstrong0,9/01/1904
Arthur1,1/01/1901
Ashton0,5/16/1904
Atalissa0,5/15/1901
Atkins1,2/01/1902
Atlantic1,1/01/1900
Auburn0,1/01/1903
Audubon1,1/01/1900
Aurelia0,9/01/1900
Aurora0,9/15/1900
Austinville1,0/15/1902
Avoca0,2/01/1904
Avon0,9/01/1904
Badger0,9/01/1904
Bagley0,3/02/1903
Baldwin0,1/01/1904
Barnes0,4/01/1904
Barney0,9/15/1903
Bassett0,2/15/1904
Batavia0,3/15/1900
Battlecreek1,2/01/1902
Baxter0,2/01/1902
Bayard0,6/15/1904
Beacon0,7/01/1902
Beaconsfield0,7/01/1902
Beaman0,3/01/1901
Bedford1,2/02/1901
Belknap0,7/01/1902
Belle Plaine0,1/15/1901
Bellevue1,1/02/1903
Belmond0,2/01/1902
Bennett0,2/01/1902
Benton0,7/01/1902
Bentonsport0,4/01/1903
Bernard1,1/15/1902
Birmingham0,4/01/1903
Blairsburg0,5/02/1904
Blairstown1,2/02/1901
Blakesburg0,7/01/1902
Blanchard0,2/01/1902
Blencoe0,1/01/1903
Blockton0,7/01/1902
Bloomfield1,1/01/1900
Bode1,1/02/1903
Bonair0,2/02/1903
Bonaparte0,4/01/1903
Bondurant0,4/15/1901
Boone0,9/03/1900
Booneville0,9/01/1902
Bouton0,7/01/1902
Boyden0,3/01/1904
Braddyville0,2/01/1902
Brandon1,0/01/1904
Brayton0,4/01/1904
Breda0,9/03/1900
Bridgewater0,8/15/1904
Brighton0,4/01/1903
Bristow1,0/15/1902
Britt0,7/01/1902
Bronson0,7/01/1903
Brooklyn1,2/16/1897
Bruce0,3/02/1903
Buckgrove0,2/01/1904
Buckingham0,7/01/1902
Buffalo Center0,4/01/1904
Burlington0,8/01/1898
Burnside0,5/16/1904
Burt0,2/01/1904
Bussey0,3/01/1902
Calamus1,0/15/1903
Callender0,4/01/1903
Calmar0,7/01/1901
Camanche0,3/01/1902
Cambria0,7/15/1903
Cambridge0,3/01/1902
Canover0,3/02/1903
Cantrill0,4/01/1903
Carbon1,0/01/1903
Carlisle0,5/01/1902
Carpenter0,9/01/1904
Carroll0,9/02/1901
Carson0,3/02/1903
Cascade0,9/02/1901
Casey1,1/02/1903
Castalia0,3/02/1903
Castana0,1/01/1903
Cedar1,1/15/1900
Cedar Rapids1,0/01/1901
Cedarfalls1,2/04/1899
Center Point1,1/15/1900
Centerville0,2/01/1902
Central City1,1/15/1900
Chapin0,9/01/1902
Chariton1,1/01/1900
Charles City1,0/01/1902
Charlotte0,1/01/1904
Charter Oak0,9/02/1901
Chelsea1,2/01/1902
Cherokee1,1/01/1900
Chester1,1/01/1902
Church1,2/15/1904
Churdan0,3/02/1903
Cincinnati0,5/01/1902
Clare0,6/01/1904
Clare0,8/15/1904
Clarence1,2/02/1901
Clarinda1,2/01/1900
Clarion0,2/01/1902
Clarksville0,9/01/1900
Clearfield0,2/01/1902
Clearlake0,8/15/1900
Cleghorn1,2/15/1903
Clemons0,5/16/1904
Clermont0,4/01/1902
Clinton0,3/15/1900
Clio0,7/15/1903
Clutier1,2/01/1902
Coggon1,1/15/1900
Coin0,8/01/1901
Colfax0,2/01/1902
Collins0,5/01/1902
Colo0,2/01/1901
Columbus Junction0,7/05/1899
Conesville0,8/15/1900
Conrad1,1/01/1900
Conway0,7/01/1902
Coon Rapids1,1/01/1901
Cooper0,3/02/1903
Cordova1,1/02/1903
Corning0,3/01/1901
Correctionville0,8/01/1901
Corwith0,9/01/1902
Corydon1,2/15/1900
Council Bluffs1,1/01/1900
Crawfordsville0,4/01/1903
Cresco0,8/01/1901
Creston0,2/15/1901
Cromwell0,1/01/1903
Cumberland1,2/01/1902
Cumming1,1/02/1903
Curlew0,3/02/1903
Cushing0,9/01/1904
Cylinder0,3/02/1903
Dallas1,0/15/1904
Dallas Center1,0/01/1900
Dana0,2/01/1902
Danbury0,4/01/1904
Danville1,0/09/1899
Davenport1,0/23/1899
Davis City1,0/01/1903
Dawson1,2/01/1903
Dayton0,3/02/1903
De Sota1,0/01/1900
De Witt 1,1/01/1901
Dean0,5/01/1903
Decatur0,7/01/1902
Decorah0,6/18/1900
Dedham1,2/01/1903
Deepriver0,7/01/1902
Delaware0,7/01/1902
Delhi0,7/01/1902
Delmar1,1/02/1903
Delta1,2/01/1902
Denison0,8/01/1901
Derby0,5/01/1902
Des Moines1,1/01/1902
Dexter1,0/01/1900
Diagonal0,9/02/1901
Dickens0,1/01/1903
Dike0,4/01/1902
Dixon0,3/01/1902
Donahue1,2/01/1904
Donnellson0,7/01/1903
Donnellson0,8/15/1903
Doon0,5/02/1904
Douds Station0,4/01/1903
Dow City0,3/02/1903
Dows0,2/01/1902
Drakesville1,2/01/1902
Dubuque1,2/04/1899
Dudley0,2/02/1903
Dumont1,0/15/1902
Duncombe0,4/01/1903
Dundee1,2/01/1903
Dunkerton0,9/01/1902
Dunlap1,2/15/1901
Durango1,1/15/1902
Durant0,2/01/1902
Dyersville1,1/15/1902
Dysart1,1/01/1900
Eagle Grove0,2/01/1902
Earlham0,9/05/1899
Earling1,2/01/1903
Earlville0,7/01/1902
Early0,1/01/1903
East Peru0,9/15/1903
Eddyville0,2/01/1902
Edgewood0,2/15/1904
Elberon1,2/01/1902
Eldon0,2/01/1901
Eldora0,8/15/1898
Eldridge0,2/01/1902
Elgin1,2/15/1901
Elkader0,7/01/1903
Elliott0,1/01/1902
Ellston1,1/16/1903
Ellsworth1,2/01/1902
Elma0,4/15/1904
Ely0,2/15/1904
Emerson0,8/01/1901
Emmetsburg0,4/01/1904
Epworth1,1/15/1902
Essex0,7/01/1901
Esterville0,7/01/1902
Everly0,1/01/1903
Exira0,4/01/1903
Exline0,5/01/1903
Fairbank0,7/15/1902
Fairfax1,0/01/1901
Fairfield0,7/01/1901
Fairport0,2/01/1901
Farley1,1/15/1902
Farmersburg1,1/02/1903
Farmington0,4/01/1903
Farnhamville0,4/15/1904
Farragut1,2/01/1900
Fayette0,3/15/1901
Floris1,2/01/1902
Floyd0,3/02/1903
Fonda0,4/01/1904
Fontanelle0,2/01/1902
Forest City1,1/15/1900
Fort Atkinson0,4/01/1903
Fort Dodge0,9/01/1902
Fort Madison0,4/01/1903
Fostoria0,8/01/1904
Fredericksburg0,4/01/1903
Fredric0,5/02/1904
Fremont0,2/02/1903
Fruitland0,8/08/1898
Galva1,0/15/1900
Garden Grove0,7/01/1902
Garner1,0/01/1902
Garrison1,1/01/1900
Garwin0,4/15/1901
Gaza0,1/01/1903
Geneva0,1/15/1901
George0,1/01/1903
Germania1,0/01/1904
Gilbert Station1,2/01/1902
Gilman0,5/15/1901
Gilmore City0,2/01/1902
Givin1,2/01/1904
Gladbrook0,9/01/1902
Glenwood0,2/01/1902
Glidden1,1/01/1901
Goldfield0,2/02/1903
Goodell0,7/01/1902
Gowrie0,4/01/1903
Graf1,1/15/1902
Grafton1,1/01/1904
Grand Junction1,1/16/1903
Grand River0,7/01/1902
Grandmound1,0/01/1903
Grant0,8/01/1904
Granville0,2/01/1902
Gravity0,2/01/1902
Greeley0,7/01/1902
Green Island1,0/01/1904
Green Mountain0,9/05/1899
Greene0,4/01/1902
Greenfield1,1/01/1900
Greenville0,8/01/1904
Grimes0,3/01/1902
Grinnell1,1/01/1900
Griswold0,9/02/1901
Grundy Center1,1/01/1900
Guernsey1,2/01/1902
Guthrie Center0,4/01/1903
Guttenberg0,6/15/1904
Hamburg1,2/01/1900
Hamilton1,2/01/1904
Hamlin0,4/01/1904
Hampton0,1/15/1901
Hancock0,3/02/1903
Hanlontown0,7/01/1903
Harcourt1,1/01/1904
Hardy1,0/01/1903
Harlan1,1/01/1900
Harper0,7/01/1902
Harpers Ferry0,2/15/1904
Harris0,6/01/1904
Hartley0,1/01/1903
Hartwick0,7/01/1902
Harvey1,2/15/1903
Hastings1,1/01/1901
Havelock1,1/01/1901
Haverhill1,2/02/1901
Hawarden0,9/01/1900
Hawkeys0,8/01/1901
Hazleton0,9/01/1900
Hedrick 0,8/28/1899
Henderson1,0/01/1901
Hillsboro0,5/15/1901
Hillsdale0,4/15/1900
Hinton0,7/01/1903
Holland1,2/01/1902
Holstein1,0/15/1900
Homestead0,2/01/1902
Honeycreek0,4/01/1903
Hopkinton1,0/15/1900
Hornick0,1/15/1904
Hosper0,1/01/1903
Hubbard0,5/01/1900
Hudson0,7/01/1902
Hull1,2/01/1902
Humboldt0,3/02/1903
Humeston0,4/01/1902
Huxley1,2/01/1904
Ida Grove1,1/01/1901
Imogene1,2/01/1900
Independent0,2/15/1901
Indianola1,1/01/1900
Industry0,6/01/1904
Inwood0,8/15/1904
Ionia0,1/15/1904
Iowa City1,0/16/1899
Iowa Falls1,1/15/1901
Ira0,4/01/1904
Ireton0,7/01/1901
Irwin0,4/01/1904
Jamaica1,2/01/1902
Janesville1,0/01/1901
Jefferson1,0/01/1901
Jesup0,7/15/1902
Jewell0,5/01/1903
Joice0,3/02/1903
Jolley0,4/01/1904
Kalona0,4/01/1903
Kamrar0,5/01/1903
Kanawha1,1/01/1901
Kellerton0,7/01/1902
Kelley1,2/01/1904
Kellogg0,7/01/1902
Kelsey1,0/15/1902
Kensett0,1/02/1901
Kent0,8/01/1901
Keokuk1,2/15/1903
Keosauqua0,9/01/1902
Keota0,7/01/1902
Keswick0,7/01/1902
Keystone0,3/15/1900
Killduff0,8/15/1904
Kingsley1,2/01/1902
Kirkman0,4/01/1903
Kiron0,3/02/1903
Knowlton0,4/01/1904
Knoxville1,0/15/1900
Lacey0,3/01/1901
Lacona0,5/01/1902
Ladora0,2/01/1902
Lake City0,7/01/1902
Lake Mills0,9/01/1902
Lakepark0,2/15/1904
Lakeview0,2/01/1902
Lamoni1,2/12/1900
Lamont0,7/01/1902
Lamotte0,5/01/1900
Lansing1,2/01/1903
Laporte City0,7/01/1902
Larchwood0,4/15/1904
Larrabee0,7/01/1902
Latimer1,0/01/1902
Latty0,7/01/1902
Laurel0,3/01/1902
Laurens0,2/01/1902
Lawler0,2/15/1904
Lawton0,7/01/1903
Le Grand 1,1/01/1901
Leclaire0,8/01/1902
Leighton0,3/02/1903
Leland0,3/02/1903
Lemars1,1/01/1900
Lenox0,7/01/1901
Leon1,2/01/1900
Letts0,7/05/1899
Lewis0,3/02/1903
Libertyville0,3/15/1900
Limespring0,2/02/1903
Linden1,0/01/1900
Lineville0,9/02/1901
Linngrove0,1/01/1903
Lisbon0,1/01/1902
Liscomb0,4/16/1900
Little Cedar0,9/01/1904
Little Sioux0,3/01/1904
Livermore0,4/15/1904
Lockridge1,2/01/1903
Locust0,9/01/1904
Logan 1,2/01/1900
Lohrville0,4/01/1903
Lone Tree0,2/01/1902
Longgrove1,1/16/1903
Lorimor1,0/01/1902
Lost Nation0,7/15/1904
Lothrop1,1/02/1903
Loveland0,4/01/1903
Lovilia0,3/02/1903
Lowden0,2/15/1904
Luana0,8/01/1901
Lucas0,4/01/1902
Luther0,3/01/1904
Luverne0,4/01/1904
Luzerne1,2/01/1902
Lynnville0,2/02/1903
Lyons0,8/15/1900
Macedonia0,1/02/1901
Madrid1,1/15/1900
Malcom0,2/01/1902
Mallard0,9/01/1904
Maloy0,9/01/1904
Malvern0,1/01/1902
Manchester0,7/01/1902
Manilla0,1/01/1904
Manly0,2/02/1903
Manning1,0/01/1901
Manson0,9/01/1902
Mapleton0,1/01/1903
Maquoketa1,2/15/1900
Marathon0,8/01/1904
Marble Rock1,1/16/1903
Marcus0,8/15/1900
Marengo1,1/15/1900
Marion1,1/01/1900
Marne0,3/01/1904
Marshalltown0,7/15/1899
Martelle1,2/02/1901
Mason City0,7/01/1902
Masonville0,7/01/1902
Massena1,1/02/1903
Maurice0,1/01/1903
Maxwell1,2/05/1900
Maynard0,7/01/1902
Mc Callsburg0,5/01/1902
Mc Causland1,1/16/1903
Mc Intire0,1/01/1904
McGregor0,4/15/1901
Mechanicsville1,2/02/1901
Mediapolis0,7/05/1899
Melbourne1,1/01/1901
Melrose0,2/02/1903
Melvin0,4/01/1904
Menlo0,9/15/1903
Meriden0,7/01/1902
Merrill0,7/01/1903
Middletown0,7/01/1902
Miles0,2/15/1904
Milford1,1/02/1903
Millersburg0,1/01/1902
Milo0,5/01/1902
Milton0,4/01/1903
Minburn0,7/01/1902
Minden0,2/01/1904
Missouri Valley1,2/15/1900
Mitchell1,2/01/1903
Mitchellville0,2/15/1901
Modale0,4/01/1903
Mondamin0,4/01/1903
Moneta0,6/01/1904
Monmouth0,2/01/1902
Monona0,3/02/1903
Monroe0,2/01/1902
Montezuma0,2/01/1902
Monticello0,3/15/1900
Montour0,2/15/1901
Montpelier0,4/01/1904
Montrose0,9/15/1903
Moorhead0,3/01/1904
Moorland1,0/01/1904
Moravia0,4/01/1902
Morning Sun1,1/10/1896
Moulton0,2/01/1902
Mount Auburn1,2/01/1902
Mount Ayr0,9/02/1901
Mount Etna1,0/01/1902
Mount Hamill0,4/01/1903
Mount Pleasant1,2/16/1897
Mount Sterling0,1/01/1904
Mount Union0,7/01/1902
Mount Vernon0,3/01/1901
Moville0,1/01/1904
Murray0,7/01/1902
Muscatine0,8/28/1899
Mystic0,5/01/1903
Nashua0,7/01/1901
Neola0,2/01/1902
Neosha Falls0,3/02/1903
Nevada0,2/15/1901
New Hampton0,8/01/1901
New Hartford0,7/01/1902
New Liberty0,8/15/1904
New London0,3/15/1900
New Market0,2/01/1902
New Providence0,9/16/1897
New Sharon0,4/01/1902
New Virginia0,7/01/1902
Newburg0,7/01/1902
Newell1,2/01/1902
Newhall0,8/01/1904
Newton0,4/15/1901
Nichols0,8/15/1900
Noble1,1/01/1902
Nodaway0,1/01/1903
Nora Springs1,2/15/1900
Norman0,5/16/1904
North Buenavista1,1/15/1902
North English1,2/02/1901
Northboro0,2/01/1902
Northwood0,1/02/1901
Norwalk0,4/01/1902
Norway0,9/01/1902
Norwich1,1/16/1903
Numa0,5/01/1903
Oakland0,1/01/1902
Oakley0,5/01/1903
Oakville0,7/01/1902
Ocheyedan0,4/01/1904
Odebolt0,1/01/1903
Oelwein0,3/01/1902
Ogden0,3/01/1901
Olds0,2/15/1904
Olin0,2/01/1902
Onawa0,3/15/1901
Onslow0,1/01/1902
Orange City1,2/01/1902
Orchard0,7/16/1900
Orient0,2/01/1902
Orillia0,7/01/1902
Orson0,9/01/1904
Osage1,0/15/1900
Osceola0,9/05/1899
Oskaloosa0,8/15/1899
Ossian1,2/15/1900
Osterdock1,0/01/1904
Oto0,5/02/1904
Ottosen0,9/01/1902
Ottumwa0,7/05/1899
Owasa1,1/15/1901
Oxford0,8/01/1902
Oxford Junction0,6/15/1904
Pacific Junction0,9/01/1903
Packwood1,2/01/1903
Palmer0,4/15/1904
Palo0,1/15/1904
Panora0,9/01/1902
Parkersburg1,0/15/1902
Parnell1,1/15/1900
Paton0,2/01/1902
Patterson1,1/02/1903
Paullina1,0/15/1900
Pella1,0/01/1902
Peosta1,1/15/1902
Percival1,0/01/1903
Percy0,8/01/1903
Perry1,2/03/1900
Persia0,3/02/1903
Peterson0,1/01/1903
Pierson0,1/01/1903
Pilotmound1,0/01/1904
Pisgah0,2/15/1904
Pittsburg0,5/15/1900
Plainfield0,9/01/1902
Plano0,2/15/1901
Pleasanton0,9/15/1903
Pleasantplain0,5/16/1904
Pleasantville1,0/15/1900
Plymouth0,7/01/1903
Polk City0,3/01/1902
Pomeroy1,0/01/1903
Portsmouth0,9/01/1902
Postville0,6/18/1900
Prairie City0,7/01/1902
Prescott0,1/01/1903
Preston0,9/01/1902
Primghar0,1/01/1903
Princeton0,7/16/1900
Promise City0,4/01/1902
Pulaski1,1/01/1900
Quimby0,1/01/1903
Radcliffe1,1/15/1901
Raymond0,4/01/1904
Readlyn1,2/15/1904
Reasnor0,2/01/1904
Redding0,7/01/1902
